economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,-4.68763897846137,-8.8049356352136,8.92046662114826,-17.5903165005138,0.664175810874169,-0.41563759901472,7.61167220218675,18.5057800383246,-12.0331802180755,9.97445713517423,7.46525460335849,-0.907264375161604,0.923397287531133,5.2533752062728,4.39981717177271,-2.2478342012416,6.51718576425329,4.63553026601194,7.4653342753216,-3.58459079731401,2.42051208397071
AFE,1.82591614109867,2.02191300437059,1.25663111373599,2.43740589998239,3.1569406143365,2.58633169148882,1.68010728226786,1.81596108935578,2.60638627365529,2.18038048661154,2.76047028514722,3.14554882093462,2.04466423939857,1.08109615222276,1.33528231684753,1.52051857645015,1.41831883376737,4.92436019944644,1.74630848651061,2.00857937857267,2.19724848242449
AFG,3.577104200584,4.36867310434287,3.41377297323201,1.93570171391636,0.45536044478174,0.45188914562189,1.20311798981139,0.293025179616803,0.285440893554571,0.239801184405551,0.209664794672203,0.88400046336123,0.516606084523093,0.274796791572807,0.661572217787196,0.124495985291258,0.0649939571808755,0.144466946606861,,,
AFW,1.80420304723066,2.93133338546773,2.28870294816693,2.76690161524521,2.84147402329329,3.52591020083717,3.15128327333642,3.54506641288462,2.79570166892171,2.26936723127983,1.83591900224731,2.13330027622449,2.23535718815748,2.55635653292547,1.91395272862701,1.22700011228508,1.04084419108634,1.60141749103716,1.46814555146344,2.08163638802875,2.39840367592386
AGO,8.13849032848245,-3.14962046173322,-0.0643009490167298,-1.22312266225132,1.69952793928946,2.69909240017807,-3.37761927933748,-2.40838836782517,-1.02012839058611,-4.78350487024797,2.38352427018273,9.7795154502448,-0.299804386002375,-8.76696380208172,-7.21246216123288,-5.07649440156737,-3.17143620765821,-5.47403409372737,-5.02899288556058,-1.97786390222726,-1.0986881170909
ALB,4.60782278585291,3.17899814544722,3.55321913781567,5.86740351847628,9.40665320050491,10.9068201480963,9.01744998049889,8.08329285826067,7.49597513325321,9.80035898039468,8.64846635716115,8.62740636982337,8.71147225448456,7.71411336285186,7.83109146132114,7.70621465029911,7.01865154497786,6.75791457973236,7.57934042905775,6.90036950940795,6.32349466068578
AND,,,,,,,,,,,,,,,,13.3818072686093,9.43228499707799,14.5826559404996,17.5702350620217,7.28597529959797,6.64266743694098
ARB,2.16478959100851,3.16813035855029,3.97121100672377,3.80340434197896,2.58732735207834,2.2218541513522,2.11194389033051,1.31663145630821,1.54970201135426,1.2495361508121,0.858594694517584,0.848345430500515,1.90316892678224,1.20765569076214,1.51863791071918,1.21983791189292,1.28359953435291,2.25750539146834,2.07805996103919,2.45975024296504,3.63591508558193
ARE,6.76715211324682,6.03481604123485,5.76543753223521,5.50043971722883,1.60487460715228,0.447367365845778,2.85854032456409,1.938861867408,2.43554239157448,2.38382217021709,2.60546065371654,2.23861395699196,2.51620200951453,2.56696112401594,2.35729150002132,4.11928564301823,5.56735507865122,4.89230472033291,4.44591399207935,5.87184069440898,8.26261712974626
ARG,2.5050175164097,2.64935441452167,2.38106854489628,2.25129423568361,2.68990096507093,1.20643922647566,2.67516171886535,2.04465997872008,2.80667189982932,1.77920553648531,0.962406650325519,1.97713461784426,0.584748941173009,1.78936504083806,2.23253157689253,1.48500687570697,1.26616924308721,1.36838083162438,2.3984601182853,3.81190879856952,1.82409522925391
ARM,6.90990201303095,5.96010687349519,7.30731450469503,7.25233231640274,8.09234920917782,8.78869421378729,5.7160373406455,6.44066805582743,4.67672759828402,3.11193185351156,3.50211415457343,1.74473701796819,3.16536727816995,2.19257337687685,2.14204783415544,0.736345856475298,0.463408850763634,2.64014282794454,4.99991586140552,2.39959276465582,0.506878336560983
ASM,,,,,,,,,,,,,,,,,,,,,
ATG,10.1893673033827,10.8186629996336,22.1475235171357,23.2994751710531,9.85935759677714,6.05699272043589,7.21860114712015,5.4088284644018,9.14709758740785,7.00759321793992,3.35554163274444,7.93223201859466,6.54079848427652,9.85575663347108,12.1775193572219,7.75630247071163,6.82766026835143,17.8854599675431,16.3832463643885,14.6092927494913,11.1314252318887
