Country,Year,Agri_GDP,Elec_Access,FDI_GDP,GDPC_2015,Indus_GDP,Internet_Usage,Serv_GDP
AFG,2004,29.7210671376957,23.8,3.577104200584,338.637273888197,26.2267897500666,0.105809,41.1108953364243
AFG,2005,31.114854912062,28.7,4.36867310434287,363.640141436773,26.8120992326398,1.22415,39.0077871841904
AFG,2006,28.6359685844686,33.5,3.41377297323201,367.75831169358,28.2107680719994,2.10712,39.8310243252872
AFG,2007,30.1050113574013,38.4,1.93570171391636,410.757728879097,26.8822416082148,1.9,40.294685221301
AFG,2008,24.8922700059742,42.4,0.45536044478174,417.647282647498,26.9156280026285,1.84,45.4098308716488
AFG,2009,29.2975010547259,48.3,0.45188914562189,488.830652491949,21.8971222069406,3.55,45.2444349261482
AFG,2010,26.2100685374552,42.7,1.20311798981139,542.871030476037,21.1514206977128,4.0,48.8793769096891
AFG,2011,23.7436639877543,43.2,0.293025179616803,525.42698276582,22.7402524820273,5.0,49.6968203962567
AFG,2012,24.390873626371,69.1,0.285440893554571,568.929021458341,21.1578071539751,5.45455,50.5793979236606
AFG,2013,22.8106627361766,68.0,0.239801184405551,580.603833333096,20.4446053132561,5.9,52.6827434733525
AFG,2014,22.1370413719574,89.5,0.209664794672203,575.146245808546,21.2296632181805,7.0,52.9908650351499
AFG,2015,20.6343227166798,71.5,0.88400046336123,565.569730408751,22.1240424906926,8.26,53.2352934986503
AFG,2016,25.7403140364582,97.7,0.516606084523093,563.872336723147,10.4668076938201,11.0,59.0232164144095
AFG,2017,26.4201990834448,97.7,0.274796791572807,562.769574140988,10.0518739969063,13.5,58.3290500097748
AFG,2018,22.0428967527575,93.4,0.661572217787196,553.125151688293,13.3872469597976,16.8,59.4774229106653
AFG,2019,25.7739707394105,97.7,0.124495985291258,557.861533207459,14.0581123697768,17.6,55.4728067408306
AFG,2020,29.9755825210461,97.7,0.0649939571808755,527.834554499306,12.9525996015547,17.0485,52.5721090890613
AFG,2021,33.5976188725451,97.7,0.144466946606861,408.625855217403,14.2736570191788,16.5143,47.160422387969
AFG,2022,33.7014323213923,85.3,1.9921610086967376,377.665627080705,16.0503677223963,17.1917,45.0499087998591
AFG,2023,34.7432471445174,85.3,1.2568105410016415,378.06630312259,13.4498227120978,17.7089,46.3743698691993
AGO,2004,10.3635914449926,28.4,8.13849032848245,2583.32411461288,50.2978770697738,0.464815,39.7136676214341
AGO,2005,8.56536731681355,29.4,-3.14962046173322,2843.3966357968,56.1242984191149,1.14337,35.4993259457285
AGO,2006,8.44100897843275,30.5,-0.0643009490167298,3065.05576243895,54.2214232962716,1.5,37.1439693103216
AGO,2007,8.61624042186554,37.5,-1.22312266225132,3336.36332465208,57.905278239704,1.7,34.0967823030459
AGO,2008,7.81831803295795,38.5,1.69952793928946,3559.19522512236,56.2078263483829,1.9,34.2212938482245
AGO,2009,10.3661474573001,33.8,2.69909240017807,3494.80724466172,40.9723218323879,2.3,46.6572174638642
AGO,2010,10.0913068588653,35.0,-3.37761927933748,3540.79159568381,48.5501387093455,2.8,40.4058954859428
AGO,2011,9.55630602216444,34.6,-2.40838836782517,3528.16824373399,52.1706630052286,4.7,37.8278152881355
AGO,2012,9.69697932366603,37.3,-1.02012839058611,3682.35229322763,53.3611036467722,7.7,38.1528946330169
AGO,2013,10.3295507034404,38.4,-4.78350487024797,3716.29718727282,50.3750405397121,13.0,40.5013779544273
AGO,2014,11.4782158930109,32.0,2.38352427018273,3746.81619978613,43.9966362099567,21.3623,44.0532339009099
AGO,2015,13.6637723279796,42.0,9.7795154502448,3641.72893919944,36.7338841349078,22.0,48.0419306568083
AGO,2016,14.6711413269562,41.8,-0.299804386002375,3454.03317187119,37.3943513261608,23.2,46.7231427013984
AGO,2017,14.9283260019113,42.9,-8.76696380208172,3328.8982124109,37.0989345106935,26.0,46.6189972009799
AGO,2018,13.3397905678931,45.3,-7.21246216123288,3196.79006983557,41.1891594014386,29.0,43.9574616765439
AGO,2019,12.3911585673156,45.6,-5.07649440156737,3083.97534427357,42.2251045134162,32.1294,43.8627207016305
AGO,2020,15.0223674268676,47.0,-3.17143620765821,2864.16146036893,36.7098511285088,36.6347,45.3591604963738
AGO,2021,16.561923695764,48.2,-5.47403409372737,2832.81777132286,38.1721950958541,39.3876,42.6412291780629
AGO,2022,18.9890929801653,48.5,-5.02899288556058,2860.90251922246,34.9333591780179,42.0719,43.7734824749089
AGO,2023,20.6897623256468,51.1,-1.97786390222726,2809.15727975557,35.1292267229987,44.7581,41.8051676690801
ALB,2004,18.5630799913995,99.4,4.60782278585291,2567.29763687121,27.7299752177294,2.42039,39.5598988272926
ALB,2005,17.1247178955729,99.4,3.17899814544722,2712.86983830331,28.1372131604488,6.04389,40.3981318981217
ALB,2006,16.0415750334868,99.4,3.55321913781567,2894.36032580174,28.4284255205783,9.60999,40.1991972841068
ALB,2007,15.5325494481234,99.4,5.86740351847628,3105.8796756386,28.5772545670045,15.0361,40.5451705003217
ALB,2008,15.422100399492,100.0,9.40665320050491,3345.98161761476,28.5616497223775,23.86,41.0750286540131
ALB,2009,15.2792217271528,99.6,10.9068201480963,3459.24695646692,27.5678722962167,41.2,42.0040238601938
ALB,2010,16.3586081914252,99.6,9.01744998049889,3579.82413181046,27.4749142839601,45.0,41.3131845921318
ALB,2011,16.7202229491786,99.7,8.08329285826067,3677.89457937717,26.9409865024688,47.0,42.2390195525462
ALB,2012,17.5913685516371,99.9,7.49597513325321,3771.84781862015,25.4077242038709,49.4,43.5059236088597
