field_name,indicator_code,abbreviation,data_type, unit,description,aggregation_method
Access to electricity ( % of population),EG.ELC.ACCS.ZS,Elec_Access,numerical,% (share) of population,Access to electricity is the percentage of population with access to electricity. Electrification data are collected from industry national surveys and international sources,Population-weighted average
Agriculture forestry and fishing value added ( % of GDP ),NV.AGR.TOTL.ZS,Agri_GDP,numerical,%,This sector encompasses the exploitation of natural resources through crop cultivation livestock breeding and the harvesting of timber and aquatic products. The indicator measures the industry's value added—calculated by subtracting intermediate consumption from total output—as a percentage of the national GDP,Weighted average
Domestic credit to private sector ( % of GDP ),FS.AST.PRVT.GD.ZS,Credit_Private,numerical,%,This indicator represents the financial resources such as loans and trade credit provided by financial institutions to the private sector and sometimes public enterprises. It measures the total value of these claims as a percentage of a country's Gross Domestic Product (GDP),Weighted average
Employment in services ( % of total employment ) ( modeled ILO estimate ),SL.SRV.EMPL.ZS,Emp_Services,numerical,% of total employment,Employment refers to working-age individuals engaged in producing goods or services for profit including those temporarily absent from their jobs. The services sector encompasses a broad range of activities including trade transport finance and social services classified according to international industrial standards,Weighted average
Foreign direct investment net inflows ( % of GDP ),BX.KLT.DINV.WD.GD.ZS,FDI_GDP,numerical,None,Foreign direct investment (FDI) represents net inflows from foreign investors seeking a lasting management interest defined as at least 10% of an enterprise's voting stock This metric aggregates equity reinvested earnings and capital flow expressed as a ratio of the reporting economy's total GDP,Weighted average
GDP per capita ( constant 2015 US $),NY.GDP.PCAP.KD,GDPC_2015,numerical,constant 2015 US$,Gross domestic product (GDP) per capita measures the total income from goods and services within a territory calculated via three methods and expressed in inflation-adjusted 2015 US dollars,Weighted average
Individuals using the Internet ( % of population ), IT.NET.USER.ZS,Internet_Usage,numerical,% of population,Internet users are individuals who have used the Internet (from any location) in the last 3 months. The Internet can be used via a computer mobile phone personal digital assistant games machine digital TV etc,Weighted average
Industry ( including construction) valued added ( % of GDP ),NV.IND.TOTL.ZS,Indus_GDP,numerical,%,Industry value added covering sectors from mining to utilities (ISIC 05-43) represents the sector's net economic contribution calculated by subtracting intermediate consumption from total output and is expressed as a percentage of GDP,Weighted average
Services value added ( % of GDP ),NV.SRV.TOTL.ZS,Serv_GDP,numerical,%,Service value added encompassing sectors from trade and transport to public administration (ISIC 45-99) represents the net economic contribution of these industries as measured by total output minus intermediate consumption expressed as a percentage of GDP,Weighted average
